City,Lat,Lon,Mean
Downey,33.9502684,-118.1063383,125282
Downey,33.9642238,-118.1314443,98614
Downey,33.95127,-118.1433556,63954
Downey,33.9374454,-118.112141,82239
Downey,33.9259214,-118.1206401,37345
Downey,33.9440174,-118.156034,67157
Downey,33.9255374,-118.1619504,0
Downey,33.9131473,-118.1275755,86418
Downey,34.7464478,-118.5708081,60789
Downey,34.4591589,-118.4642617,144360
Downey,33.9218213,-118.1262274,49346
Downey,33.9172388,-118.147433,71303
Downey,34.0618774,-118.7415923,134233
Downieville,39.552354,-120.893102,21163
Duarte,34.1722232,-117.9422558,105358
Duarte,34.1286233,-117.9799555,70195
Duarte,34.1233883,-117.995471,62503
Duarte,34.1393519,-117.9554108,73629
Dublin,37.716154,-121.896234,126995
Dublin,37.7108737,-121.9177937,108024
Dublin,37.7108737,-121.9177937,106850
Dublin,37.7054837,-121.8610693,102065
Ducor,35.8807556,-118.9866017,31274
Dunsmuir,41.2135218,-122.3924294,45774
Earlimart,35.8580543,-119.3058575,37464
East Palo Alto,37.4590916,-122.1438916,59653
Eastvale,33.9608636,-117.5886851,113676
Edgewood,41.4800873,-122.427147,53474
Edgewood,41.4800873,-122.427147,53028
El Cajon,32.758975,-116.9481395,118571
El Cajon,32.7840225,-116.9579853,50968
El Cajon,32.7752264,-116.9179144,105132
El Cajon,32.7921847,-116.9264026,36739
El Cajon,32.7840087,-116.9696965,76850
El Cajon,32.8090425,-116.9102681,118195
El Cajon,32.8220879,-116.9554478,59980
El Cajon,32.8701472,-116.8418302,61416
El Cajon,32.7537863,-116.9177769,80543
El Cajon,32.8014261,-116.8356669,102861
El Cajon,32.7886437,-116.9804849,76875
El Cajon,32.8134192,-116.9558816,44693
El Centro,32.7756534,-115.4937384,48768
El Centro,32.7871645,-115.5611698,52637
El Centro,32.783299,-115.5741166,39420
El Centro,32.79849,-115.5612929,36821
El Cerrito,37.9139391,-122.2934783,118857
El Cerrito,37.9434503,-122.2881717,76130
El Cerrito,37.9090202,-122.3117119,101488
El Cerrito,37.9011258,-122.3052915,67608
El Dorado Hills,38.737015,-121.0874235,135569
El Dorado Hills,38.6825337,-121.0617486,175893
El Dorado Hills,38.6825337,-121.0617486,143603
El Monte,34.0865238,-118.0462778,76522
El Monte,34.0966686,-118.0058397,68133
El Monte,34.0741029,-118.0325211,54672
El Monte,34.0677993,-118.0367787,56439
El Monte,34.0684851,-118.0062049,50126
El Monte,34.054936,-118.0487816,60847
El Monte,34.0525708,-118.0268687,46790
El Monte,34.0966686,-118.0058397,66945
El Monte,34.0677993,-118.0367787,53641
El Monte,34.054936,-118.0487816,58250
El Monte,34.0464413,-118.0226938,48183
El Segundo,33.917145,-118.401554,104661
El Segundo,33.9274501,-118.4208606,114121
El Segundo,33.9201935,-118.418063,103211
Elk Creek,39.598678,-122.53232,43059
